time_s,snapshot_label,run_id,config_hash,emitted_particles,dynamic_live,max_dynamic_live,corridor_entries,captured_particles,deposited_splats,captured_via_corridor,captured_via_predicted,captured_via_crossing,captured_via_side_funnel,missed_side,missed_below,missed_behind,culled_far,occupied_cells,coverage_area_m2,coverage_pct,capture_efficiency,avg_stack,max_stack,avg_thickness_m,max_thickness_m,finalize_reason
1.000,METRIC_1.0s,20260331_142550,c8fac23f8779fa5d,450,263,263,225,137,1233,39,40,0,58,50,0,0,0,100,0.017424,0.866,0.304,1.370,6,0.012934,0.030250,
1.017,STATUS,20260331_142550,c8fac23f8779fa5d,457,262,263,232,142,1278,42,41,0,59,53,0,0,0,104,0.018121,0.901,0.311,1.365,6,0.012917,0.030250,
2.017,STATUS,20260331_142550,c8fac23f8779fa5d,907,283,283,655,390,3510,107,84,0,199,231,0,0,3,194,0.033803,1.680,0.430,2.010,16,0.015329,0.067650,
3.000,METRIC_3.0s,20260331_142550,c8fac23f8779fa5d,1350,274,283,1072,647,5823,171,138,0,338,421,1,0,7,276,0.048090,2.390,0.479,2.344,28,0.016577,0.112530,
3.017,STATUS,20260331_142550,c8fac23f8779fa5d,1357,275,283,1080,652,5868,171,140,0,341,422,1,0,7,278,0.048439,2.407,0.480,2.345,28,0.016582,0.112530,
4.017,STATUS,20260331_142550,c8fac23f8779fa5d,1807,265,283,1516,908,8172,229,208,0,471,623,3,0,8,341,0.059416,2.953,0.502,2.663,31,0.017769,0.123750,
5.017,STATUS,20260331_142550,c8fac23f8779fa5d,2257,272,283,1939,1173,10557,302,261,0,610,796,4,0,12,381,0.066385,3.299,0.520,3.079,36,0.019324,0.142450,
6.000,METRIC_6.0s,20260331_142550,c8fac23f8779fa5d,2700,263,283,2348,1448,13032,374,321,0,753,965,7,0,17,438,0.076317,3.793,0.536,3.306,44,0.020174,0.172370,
6.017,STATUS,20260331_142550,c8fac23f8779fa5d,2707,267,283,2352,1449,13041,374,321,0,754,967,7,0,17,438,0.076317,3.793,0.535,3.308,44,0.020183,0.172370,
7.017,STATUS,20260331_142550,c8fac23f8779fa5d,3157,274,283,2785,1728,15552,432,391,0,905,1125,10,0,20,484,0.084332,4.191,0.547,3.570,53,0.021163,0.206030,
8.017,STATUS,20260331_142550,c8fac23f8779fa5d,3600,268,283,3193,1981,17829,498,451,0,1032,1319,10,0,22,521,0.090779,4.511,0.550,3.802,63,0.022031,0.243430,
9.017,STATUS,20260331_142550,c8fac23f8779fa5d,3600,0,283,3415,2123,19107,539,459,0,1125,1438,11,0,28,525,0.091476,4.546,0.590,4.044,69,0.022934,0.265870,
10.017,STATUS,20260331_142550,c8fac23f8779fa5d,3600,0,283,3415,2123,19107,539,459,0,1125,1438,11,0,28,525,0.091476,4.546,0.590,4.044,69,0.022934,0.265870,
11.017,STATUS,20260331_142550,c8fac23f8779fa5d,3600,0,283,3415,2123,19107,539,459,0,1125,1438,11,0,28,525,0.091476,4.546,0.590,4.044,69,0.022934,0.265870,
11.517,FINAL,20260331_142550,c8fac23f8779fa5d,3600,0,283,3415,2123,19107,539,459,0,1125,1438,11,0,28,525,0.091476,4.546,0.590,4.044,69,0.022934,0.265870,quiet_tail
